DataRate,Payload Size,No of Stations,No of Slots,Beacon Interval,Throughput,Simulation Time 
0.65,256,440,50,71680,0.298559,3
0.65,256,450,50,71680,0.299199,3
0.65,256,460,50,71680,0.294114,3
0.65,256,470,50,71680,0.289923,3
0.65,256,480,50,71680,0.295456,3
0.65,256,490,50,71680,0.29247,3
0.65,256,500,50,71680,0.28887,3
0.65,256,30,5,81920,0.263022,3
0.65,256,40,5,81920,0.272156,3
0.65,256,50,5,81920,0.253781,3
0.65,256,60,5,81920,0.26112,3
0.65,256,70,5,81920,0.250097,3
0.65,256,80,5,81920,0.269312,3
0.65,256,90,5,81920,0.259023,3
0.65,256,100,5,81920,0.260363,3
0.65,256,110,5,81920,0.254031,3
0.65,256,120,5,81920,0.265785,3
0.65,256,130,5,81920,0.256819,3
0.65,256,140,5,81920,0.249794,3
0.65,256,150,5,81920,0.252899,3
0.65,256,160,5,81920,0.252679,3
0.65,256,170,5,81920,0.245504,3
0.65,256,180,5,81920,0.247808,3
0.65,256,190,5,81920,0.244177,3
0.65,256,200,5,81920,0.245404,3
0.65,256,210,5,81920,0.24759,3
0.65,256,220,5,81920,0.242647,3
0.65,256,230,5,81920,0.246483,3
0.65,256,240,5,81920,0.234403,3
0.65,256,250,5,81920,0.23146,3
0.65,256,260,5,81920,0.230279,3
0.65,256,270,5,81920,0.2325,3
0.65,256,280,5,81920,0.241186,3
0.65,256,290,5,81920,0.229871,3
0.65,256,300,5,81920,0.225469,3
0.65,256,310,5,81920,0.222487,3
0.65,256,320,5,81920,0.223172,3
0.65,256,330,5,81920,0.224821,3
0.65,256,340,5,81920,0.226982,3
0.65,256,350,5,81920,0.215271,3
0.65,256,360,5,81920,0.221018,3
0.65,256,370,5,81920,0.224007,3
0.65,256,380,5,81920,0.225064,3
0.65,256,390,5,81920,0.214804,3
0.65,256,400,5,81920,0.217114,3
0.65,256,410,5,81920,0.214672,3
0.65,256,420,5,81920,0.215622,3
0.65,256,430,5,81920,0.219161,3
0.65,256,440,5,81920,0.216464,3
0.65,256,450,5,81920,0.212039,3
0.65,256,460,5,81920,0.205582,3
0.65,256,470,5,81920,0.205871,3
0.65,256,480,5,81920,0.202959,3
0.65,256,490,5,81920,0.210404,3
0.65,256,500,5,81920,0.196198,3
0.65,256,30,10,81920,0.2304,3
0.65,256,40,10,81920,0.244736,3
0.65,256,50,10,81920,0.254976,3
0.65,256,60,10,81920,0.245077,3
0.65,256,70,10,81920,0.251904,3
0.65,256,80,10,81920,0.244634,3
0.65,256,90,10,81920,0.249856,3
0.65,256,100,10,81920,0.253696,3
0.65,256,110,10,81920,0.258363,3
0.65,256,120,10,81920,0.260901,3
0.65,256,130,10,81920,0.255405,3
0.65,256,140,10,81920,0.255752,3
0.65,256,150,10,81920,0.258809,3
0.65,256,160,10,81920,0.255299,3
0.65,256,170,10,81920,0.256512,3
0.65,256,180,10,81920,0.252285,3
0.65,256,190,10,81920,0.260841,3
0.65,256,200,10,81920,0.257002,3
0.65,256,210,10,81920,0.257379,3
0.65,256,220,10,81920,0.258972,3
0.65,256,230,10,81920,0.255317,3
0.65,256,240,10,81920,0.261362,3
0.65,256,250,10,81920,0.256742,3
0.65,256,260,10,81920,0.261103,3
0.65,256,270,10,81920,0.259601,3
0.65,256,280,10,81920,0.263054,3
0.65,256,290,10,81920,0.261356,3
0.65,256,300,10,81920,0.259704,3
0.65,256,310,10,81920,0.255596,3
0.65,256,320,10,81920,0.254625,3
0.65,256,330,10,81920,0.253815,3
0.65,256,340,10,81920,0.256377,3
0.65,256,350,10,81920,0.259644,3
0.65,256,360,10,81920,0.259889,3
0.65,256,370,10,81920,0.261436,3
